Order_ID,Order_Date,Customer_ID,Customer_Name,Region,City,Product_Category,Product_Name,Quantity,Sales_Amount,Discount_Percent,Profit,Shipping_Cost,Payment_Method,Delivery_Days,Customer_Rating
ORD20251110013,2025-11-18,CUST1162,Miss Kayla Reed,South,Chennai,Grocery,Tea Pack,5,2293.81,15,332.45,235.91,Debit Card,7,2.0
ORD20251110014,2025-11-27,CUST1141,James Conley,North,Jaipur,Grocery,Cooking Oil,3,2101.06,15,219.23,121.43,,5,1.0
ORD20251110015,2025-11-05,CUST1077,Jessica Wallace,North,Jaipur,Furniture,Bookshelf,2,10406.44,5,1649.65,151.9,Cash,1,2.0
ORD20251110016,2025-11-27,CUST1215,Jessica Fuller,South,Bangalore,Grocery,Rice Bag,5,6345.65,15,696.26,285.69,Cash,7,4.0
ORD20251110017,2025-11-18,CUST1279,Nicole George,South,Bangalore,Furniture,Bookshelf,2,10661.41,10,1249.79,57.26,Cash,6,2.0
ORD20251110018,2025-11-27,CUST1239,Luke Brooks V,North,Jaipur,Furniture,Office Chair,4,25670.11,0,5733.94,157.15,Credit Card,1,3.0
ORD20251110019,2025-11-13,CUST1167,David Lawson,North,Jaipur,Furniture,Bookshelf,3,17046.39,10,3416.13,144.78,Cash,3,1.0
ORD20251110020,2025-11-16,CUST1009,John Bird,West,Mumbai,Electronics,Headphones,2,6337.48,0,1272.86,212.94,Credit Card,2,1.0
ORD20251110021,2025-11-20,CUST1078,Douglas Bowen,East,Bhubaneswar,Furniture,Study Table,4,40511.76,0,7692.9,104.49,Debit Card,2,5.0
ORD20251110022,2025-11-20,CUST1058,Kelly Hicks,South,Bangalore,Furniture,Sofa,1,27144.44,0,6286.79,193.95,Cash,4,2.0
ORD20251110023,2025-11-03,CUST1124,Angel Cisneros,West,Mumbai,Electronics,Headphones,5,15888.68,0,924.94,191.48,Cash,6,3.0
ORD20251110024,2025-11-03,CUST1259,Molly Pearson,North,Jaipur,Clothing,T-Shirt,4,2505.41,15,443.75,290.2,Cash,6,2.0
ORD20251110025,2025-11-14,CUST1090,Mrs. Debra Diaz DVM,North,Delhi,Clothing,Sneakers,4,12675.25,15,1450.82,198.12,Credit Card,7,1.0
ORD20251110026,2025-11-09,CUST1230,Sherry Olson,North,Delhi,Furniture,Bookshelf,5,24665.62,15,2836.62,173.58,Cash,2,3.0
ORD20251110027,2025-11-26,CUST1132,Jessica Johnson,West,Pune,Clothing,Jacket,5,18200.84,10,1605.52,179.16,Credit Card,6,4.0
ORD20251110028,2025-11-16,CUST1284,Sydney Soto,East,Bhubaneswar,Furniture,Bookshelf,4,21595.17,15,2036.84,73.26,Credit Card,3,5.0
ORD20251110029,2025-11-12,CUST1242,Brenda Cooley,East,Kolkata,Clothing,Sneakers,5,15283.21,10,1701.4,163.44,Credit Card,1,
ORD20251110030,2025-11-11,CUST1061,Maria Robertson,North,Jaipur,Furniture,Study Table,2,16240.1,15,3281.18,197.4,Debit Card,1,2.0
ORD20251110031,2025-11-10,CUST1116,Sharon Mckinney,South,Bangalore,Clothing,Jeans,3,6249.62,0,369.37,81.65,UPI,5,3.0
ORD20251110032,2025-11-23,CUST1064,Mr. Mark Acosta DVM,East,Kolkata,Grocery,Rice Bag,1,1341.74,10,116.56,160.12,,3,4.0
ORD20251110033,2025-11-04,CUST1033,Wendy Ellis,South,Chennai,Grocery,Tea Pack,1,465.17,0,111.56,252.79,,2,1.0
ORD20251110034,2025-11-18,CUST1213,Jennifer Garza,West,Mumbai,Furniture,Bookshelf,4,19573.2,15,2657.37,197.13,UPI,5,1.0
ORD20251110035,2025-11-25,CUST1106,Michael Hawkins,South,Chennai,Furniture,Sofa,1,22514.36,5,1830.56,188.0,Cash,4,5.0
ORD20251110036,2025-11-16,CUST1149,Robert Thomas,North,Jaipur,Electronics,Smartphone,3,84288.4,10,15802.14,163.51,Debit Card,7,5.0
ORD20251110037,2025-11-22,CUST1101,David Delacruz,East,Bhubaneswar,Grocery,Rice Bag,5,7335.38,5,1579.5,277.1,UPI,1,2.0
ORD20251110038,2025-11-26,CUST1157,Christina Cabrera,West,Pune,Clothing,Sneakers,1,3087.26,15,736.42,224.93,Cash,4,1.0
ORD20251110039,2025-11-20,CUST1020,Bob Harris,West,Mumbai,Grocery,Dry Fruits,5,8146.56,10,1505.97,107.23,UPI,7,3.0
ORD20251110040,2025-11-19,CUST1020,Bob Harris,West,Mumbai,Furniture,Bookshelf,5,27621.97,15,4614.69,95.37,Cash,1,4.0
ORD20251110041,2025-11-12,CUST1209,John Ward,East,Kolkata,Clothing,Jacket,1,3670.65,5,395.12,223.42,Cash,7,5.0
ORD20251110042,2025-11-02,CUST1232,Timothy Reynolds,West,Pune,Electronics,Headphones,3,7477.79,10,1667.41,243.14,UPI,6,5.0
ORD20251110043,2025-11-15,CUST1211,Justin Hernandez,North,Delhi,Electronics,Smartphone,5,138311.12,10,19143.39,174.62,UPI,2,3.0
ORD20251110044,2025-11-18,CUST1067,Jonathan Dalton,South,Chennai,Clothing,Sneakers,4,12680.83,0,2661.23,207.51,Credit Card,3,5.0
ORD20251110045,2025-11-01,CUST1282,Benjamin Mcdowell,North,Jaipur,Grocery,Rice Bag,2,2976.87,0,644.28,79.37,Cash,6,3.0
ORD20251110046,2025-11-17,CUST1139,Anita Reyes,South,Bangalore,Grocery,Tea Pack,4,1883.57,5,165.98,86.16,Credit Card,7,1.0
ORD20251110047,2025-11-09,CUST1212,Lori Ingram,East,Kolkata,Clothing,Jacket,1,3762.76,10,624.56,259.37,Cash,7,2.0
ORD20251110048,2025-11-15,CUST1275,Jamie Morales,West,Pune,Grocery,Dry Fruits,3,5054.45,15,443.43,130.44,Credit Card,5,4.0
ORD20251110049,2025-11-08,CUST1210,Jeremy White,West,Mumbai,Electronics,Headphones,4,9967.6,15,2134.56,215.92,Credit Card,4,1.0
ORD20251110050,2025-11-05,CUST1257,Jerry Jimenez,West,Pune,Clothing,T-Shirt,4,3216.61,0,625.59,164.23,Cash,7,2.0
ORD20251110051,2025-11-03,CUST1240,Joshua Walters,West,Mumbai,Clothing,Jacket,5,17509.45,15,3860.28,262.94,Cash,3,4.0
ORD20251110052,2025-11-28,CUST1277,Sandra Cruz,North,Delhi,Electronics,Laptop,2,138535.14,10,18950.82,236.69,UPI,7,1.0
ORD20251110053,2025-11-15,CUST1085,Jennifer Harvey,South,Bangalore,Clothing,T-Shirt,1,762.64,10,95.31,123.34,Credit Card,2,5.0
ORD20251110054,2025-11-14,CUST1289,Daniel Clark,South,Bangalore,Furniture,Study Table,2,20437.97,0,3814.28,145.64,Cash,5,2.0
ORD20251110055,2025-11-08,CUST1236,Joseph Jackson,North,Jaipur,Clothing,Sneakers,3,11337.71,0,1219.1,166.31,Credit Card,1,4.0
ORD20251110056,2025-11-12,CUST1153,Caroline Scott,West,Mumbai,Grocery,Dry Fruits,4,6766.88,10,992.31,146.17,Credit Card,4,
ORD20251110057,2025-11-12,CUST1294,Brett Jones,South,Bangalore,Clothing,Jacket,1,3246.64,15,607.64,191.48,UPI,5,4.0
ORD20251110058,2025-11-27,CUST1146,Vincent Williams,East,Bhubaneswar,Furniture,Sofa,2,48648.46,5,9446.83,219.44,Credit Card,6,1.0
ORD20251110059,2025-11-21,CUST1020,Bob Harris,West,Mumbai,Clothing,Sneakers,1,3296.39,10,359.38,72.53,Cash,2,2.0
ORD20251110060,2025-11-05,CUST1276,Dylan Davis,West,Pune,Clothing,Jacket,2,7796.23,10,1898.2,286.05,Debit Card,6,3.0
ORD20251110061,2025-11-26,CUST1058,Kelly Hicks,South,Bangalore,Grocery,Rice Bag,2,3055.28,5,751.56,231.05,Debit Card,1,4.0
ORD20251110062,2025-11-01,CUST1135,Kelly Price,North,Delhi,Electronics,Smartwatch,3,21965.3,10,5229.02,255.6,UPI,6,2.0
ORD20251110063,2025-11-16,CUST1012,Kyle Glenn,North,Jaipur,Clothing,Jeans,1,1839.2,15,242.15,125.55,Credit Card,1,1.0
ORD20251110064,2025-11-10,CUST1252,Christopher Barr,East,Bhubaneswar,Electronics,Laptop,2,130037.98,5,31193.01,142.75,Cash,5,2.0
ORD20251110065,2025-11-14,CUST1050,Taylor Rose,East,Kolkata,Grocery,Tea Pack,3,1557.08,0,216.34,104.32,Credit Card,7,
ORD20251110066,2025-11-04,CUST1188,Eric Obrien MD,North,Jaipur,Clothing,T-Shirt,4,2701.33,10,593.23,80.54,Cash,1,2.0
ORD20251110067,2025-11-21,CUST1010,Joshua Hughes,West,Mumbai,Electronics,Headphones,2,6027.15,5,1301.64,101.3,Credit Card,5,2.0
ORD20251110068,2025-11-27,CUST1119,Michelle Hudson,South,Chennai,Clothing,Jeans,5,9554.55,0,2364.8,296.01,Debit Card,7,2.0
ORD20251110069,2025-11-04,CUST1013,Diane Ellison,North,Jaipur,Furniture,Office Chair,3,20304.52,5,2092.86,53.95,Credit Card,6,
ORD20251110070,2025-11-17,CUST1058,Kelly Hicks,South,Bangalore,Electronics,Smartwatch,4,28876.25,10,4353.61,77.26,,6,
ORD20251110071,2025-11-10,CUST1234,Paul Bishop,West,Pune,Electronics,Laptop,4,234490.62,15,45134.82,76.99,Cash,1,1.0
ORD20251110072,2025-11-11,CUST1075,James Bowen,North,Jaipur,Electronics,Smartphone,3,79070.65,10,8617.08,199.35,Cash,1,1.0
ORD20251110073,2025-11-28,CUST1282,Benjamin Mcdowell,North,Jaipur,Furniture,Bookshelf,4,22406.99,5,2907.22,256.85,UPI,3,4.0
ORD20251110074,2025-11-11,CUST1130,Tracey Alvarez,North,Jaipur,Clothing,Jeans,4,7345.96,0,1001.81,71.34,Debit Card,7,2.0
ORD20251110075,2025-11-18,CUST1030,Donna Johnson,East,Kolkata,Clothing,T-Shirt,4,3095.2,10,416.57,285.28,UPI,3,5.0
ORD20251110076,2025-11-10,CUST1180,Kathleen Brown,East,Bhubaneswar,Electronics,Smartphone,2,48187.3,15,10556.62,77.05,Debit Card,1,3.0
ORD20251110077,2025-11-19,CUST1115,Devin Stout,West,Pune,Grocery,Rice Bag,5,6114.09,10,1237.99,118.32,Debit Card,3,1.0
ORD20251110078,2025-11-06,CUST1073,Victoria Wilson,South,Bangalore,Grocery,Rice Bag,2,2755.05,0,345.04,182.62,Cash,3,2.0
ORD20251110079,2025-11-12,CUST1159,Lauren Jennings,North,Jaipur,Clothing,T-Shirt,1,707.93,5,130.82,204.46,,4,4.0
ORD20251110080,2025-11-16,CUST1226,Harry Jackson,South,Chennai,Grocery,Dry Fruits,2,3876.14,0,719.58,77.72,Cash,5,3.0
ORD20251110081,2025-11-02,CUST1112,Teresa Wright,West,Mumbai,Grocery,Rice Bag,1,1368.41,5,105.98,102.81,Debit Card,3,3.0
ORD20251110082,2025-11-04,CUST1003,Tamara Smith,North,Jaipur,Grocery,Tea Pack,2,927.24,5,139.13,225.92,Debit Card,1,4.0
ORD20251110083,2025-11-28,CUST1021,Seth Greer,North,Delhi,Grocery,Rice Bag,4,6434.53,0,1059.64,193.94,Cash,3,1.0
ORD20251110084,2025-11-13,CUST1010,Joshua Hughes,West,Mumbai,Clothing,Jeans,5,9064.44,15,612.99,279.94,UPI,2,4.0
ORD20251110085,2025-11-19,CUST1205,Kevin Miller,East,Kolkata,Electronics,Smartwatch,3,20397.19,10,1331.44,244.78,UPI,5,5.0
ORD20251110086,2025-11-07,CUST1178,Krista Wilson,East,Kolkata,Clothing,Jeans,2,3717.16,0,633.7,99.32,UPI,2,4.0
ORD20251110087,2025-11-15,CUST1288,Chad Lee,East,Kolkata,Grocery,Dry Fruits,3,5631.33,5,992.67,167.23,Debit Card,5,1.0
ORD20251110088,2025-11-12,CUST1259,Molly Pearson,North,Jaipur,Electronics,Headphones,4,9256.72,15,994.31,142.18,UPI,5,5.0
ORD20251110089,2025-11-17,CUST1196,Katrina Hardy,North,Jaipur,Grocery,Rice Bag,4,5496.54,5,440.67,168.91,UPI,4,1.0
ORD20251110090,2025-11-26,CUST1175,Ashley Barnes,West,Pune,Electronics,Smartphone,1,148417.19999999998,5,4595.4,297.75,Credit Card,3,3.0
ORD20251110091,2025-11-10,CUST1198,Amber Williams,East,Bhubaneswar,Grocery,Dry Fruits,5,10578.45,0,668.37,211.83,UPI,5,4.0
ORD20251110092,2025-11-10,CUST1129,Edward Oconnor,West,Mumbai,Furniture,Sofa,1,25729.54,5,4662.47,127.56,Cash,2,5.0
ORD20251110093,2025-11-23,CUST1043,Brian Vega,West,Pune,Clothing,Sneakers,3,10314.38,5,2039.72,257.24,UPI,6,4.0
ORD20251110094,2025-11-17,CUST1185,Sharon Smith,South,Chennai,Electronics,Headphones,3,9321.5,5,1894.42,135.43,Credit Card,2,2.0
ORD20251110095,2025-11-05,CUST1039,Deborah Barry,West,Pune,Clothing,T-Shirt,5,4129.54,0,716.91,269.1,Cash,2,2.0
ORD20251110096,2025-11-06,CUST1084,Mark Henson,North,Jaipur,Grocery,Rice Bag,4,5590.48,10,776.18,109.38,Debit Card,7,4.0
ORD20251110097,2025-11-08,CUST1273,Lori Knox,North,Delhi,Furniture,Sofa,4,92488.98,5,22834.42,286.78,Cash,7,3.0
ORD20251110098,2025-11-25,CUST1195,Crystal Smith,East,Bhubaneswar,Grocery,Cooking Oil,2,1837.57,5,268.5,63.04,Debit Card,5,1.0
ORD20251110099,2025-11-23,CUST1264,Colin Fuller,North,Jaipur,Electronics,Headphones,1,2720.49,5,216.2,276.33,Cash,1,
ORD20251110100,2025-11-27,CUST1230,Sherry Olson,North,Delhi,Clothing,T-Shirt,4,3133.73,0,398.71,143.49,UPI,3,2.0
ORD20251110101,2025-11-01,CUST1163,Tyler Lloyd,West,Pune,Electronics,Headphones,2,5173.66,5,747.55,279.35,Credit Card,7,4.0
ORD20251110102,2025-11-15,CUST1002,Stacey Gonzalez,South,Bangalore,Electronics,Laptop,3,212865.03,5,41603.82,187.2,Cash,1,3.0
ORD20251110103,2025-11-08,CUST1154,Anthony Hardin,North,Jaipur,Electronics,Laptop,2,611535.25,15,7651.7,205.7,Cash,5,5.0
ORD20251110104,2025-11-01,CUST1263,Brittany Ibarra DVM,West,Pune,Furniture,Study Table,3,22957.98,15,3768.16,138.2,Credit Card,6,1.0
ORD20251110105,2025-11-17,CUST1184,Sarah Ewing,East,Kolkata,Electronics,Laptop,4,216272.24,15,26960.6,146.72,UPI,3,1.0
ORD20251110106,2025-11-12,CUST1123,Jose Harris,East,Bhubaneswar,Electronics,Headphones,2,5822.76,0,1039.71,134.64,Cash,6,4.0
ORD20251110107,2025-11-21,CUST1093,Aaron Thompson,West,Mumbai,Furniture,Office Chair,4,26843.28,0,2413.05,60.95,UPI,3,3.0
ORD20251110108,2025-11-17,CUST1203,David Brown,North,Jaipur,Grocery,Dry Fruits,1,1818.72,5,108.32,265.53,Debit Card,3,1.0
ORD20251110109,2025-11-26,CUST1188,Eric Obrien MD,North,Jaipur,Grocery,Tea Pack,4,1645.27,15,309.99,96.7,,7,5.0
ORD20251110110,2025-11-09,CUST1042,John Elliott,North,Jaipur,Grocery,Rice Bag,4,5751.84,5,379.7,130.3,Debit Card,3,4.0
ORD20251110111,2025-11-20,CUST1218,Randy Garcia,East,Kolkata,Furniture,Bookshelf,3,13899.61,15,1675.07,267.51,Cash,3,
ORD20251110112,2025-11-03,CUST1207,Charles Warren,East,Bhubaneswar,Clothing,Jeans,1,2032.5,5,279.74,219.52,Credit Card,1,2.0
ORD20251110113,2025-11-25,CUST1187,Michelle Bullock,North,Jaipur,Clothing,Sneakers,5,17867.83,0,4284.08,219.77,Debit Card,4,1.0
ORD20251110114,2025-11-19,CUST1070,Christopher Butler,West,Mumbai,Clothing,Sneakers,3,8976.76,10,1769.63,78.36,Cash,5,4.0
ORD20251110115,2025-11-18,CUST1060,Amanda Bowen,North,Delhi,Clothing,Jacket,4,16708.95,5,3898.13,121.39,Cash,2,1.0
ORD20251110116,2025-11-05,CUST1037,Elizabeth Allen,West,Pune,Grocery,Cooking Oil,4,3823.57,0,945.63,291.89,Debit Card,6,1.0
ORD20251110117,2025-11-18,CUST1277,Sandra Cruz,North,Delhi,Clothing,Jacket,2,8046.41,5,597.63,177.19,Credit Card,7,2.0
ORD20251110118,2025-11-08,CUST1252,Christopher Barr,East,Bhubaneswar,Electronics,Headphones,5,13412.0,10,1018.7,295.75,UPI,1,3.0
ORD20251110119,2025-11-13,CUST1245,Kaitlyn Nelson,North,Jaipur,Grocery,Tea Pack,5,2312.66,0,149.94,129.26,Cash,6,5.0
ORD20251110120,2025-11-12,CUST1065,Joshua Thomas,South,Bangalore,Furniture,Study Table,4,42651.13,0,4726.81,179.53,Credit Card,3,2.0
ORD20251110121,2025-11-12,CUST1265,Marvin Pittman,South,Chennai,Clothing,T-Shirt,3,2341.59,5,175.7,187.71,Debit Card,5,5.0
ORD20251110122,2025-11-03,CUST1257,Jerry Jimenez,West,Pune,Furniture,Study Table,2,19233.11,10,4136.03,190.9,UPI,1,1.0
ORD20251110123,2025-11-21,CUST1295,Deanna Wheeler,North,Delhi,Clothing,Jeans,5,8700.79,15,1982.03,57.57,Debit Card,6,3.0
ORD20251110124,2025-11-16,CUST1125,Daniel Allen,West,Pune,Grocery,Dry Fruits,4,8301.78,0,1105.17,89.52,Cash,2,
ORD20251110125,2025-11-20,CUST1073,Victoria Wilson,South,Bangalore,Clothing,Jacket,3,9446.76,15,1533.49,142.64,Debit Card,2,4.0
ORD20251110126,2025-11-04,CUST1136,Jean Fisher,North,Delhi,Grocery,Cooking Oil,2,1638.22,0,365.05,286.35,Cash,2,2.0
ORD20251110127,2025-11-27,CUST1167,David Lawson,North,Jaipur,Clothing,Jeans,2,3737.26,15,843.93,166.7,Cash,1,1.0
ORD20251110128,2025-11-13,CUST1258,Aaron Caldwell,West,Pune,Grocery,Cooking Oil,2,1473.77,10,249.81,120.34,Cash,3,
ORD20251110129,2025-11-01,CUST1055,Jason Williams,South,Chennai,Grocery,Cooking Oil,3,2558.23,10,332.87,141.48,Credit Card,3,5.0
ORD20251110130,2025-11-10,CUST1037,Elizabeth Allen,West,Pune,Grocery,Tea Pack,5,2396.39,10,412.68,205.81,Credit Card,1,4.0
ORD20251110131,2025-11-12,CUST1173,Emily Williams,North,Jaipur,Clothing,Jeans,2,3400.05,15,263.19,61.33,Debit Card,7,4.0
ORD20251110132,2025-11-17,CUST1233,David Bradford,North,Delhi,Furniture,Study Table,3,25177.51,10,4981.72,297.65,Debit Card,5,3.0
ORD20251110133,2025-11-17,CUST1260,Matthew Brown,South,Bangalore,Grocery,Dry Fruits,4,7789.37,0,1916.03,218.45,Debit Card,7,1.0
ORD20251110134,2025-11-20,CUST1242,Brenda Cooley,East,Kolkata,Clothing,Jeans,1,1587.97,15,276.22,207.26,Cash,2,2.0
ORD20251110135,2025-11-02,CUST1293,Catherine Graham,North,Delhi,Electronics,Smartphone,1,24549.83,15,4617.82,87.86,Cash,5,5.0
ORD20251110136,2025-11-16,CUST1031,Matthew Horton,West,Pune,Furniture,Study Table,5,49483.11,10,6203.45,169.59,Credit Card,4,5.0
ORD20251110137,2025-11-11,CUST1279,Nicole George,South,Bangalore,Clothing,Jacket,5,15953.7,15,2578.39,111.63,Credit Card,3,3.0
ORD20251110138,2025-11-23,CUST1106,Michael Hawkins,South,Chennai,Grocery,Dry Fruits,4,7287.1,10,1416.12,283.62,Debit Card,1,5.0
ORD20251110139,2025-11-22,CUST1278,Jeremy Gentry,South,Bangalore,Grocery,Tea Pack,3,1365.28,5,263.26,121.91,Debit Card,4,3.0
ORD20251110140,2025-11-24,CUST1245,Kaitlyn Nelson,North,Jaipur,Furniture,Study Table,5,48897.22,10,3787.31,224.04,Credit Card,2,1.0
ORD20251110141,2025-11-22,CUST1271,Linda Crawford,South,Bangalore,Furniture,Study Table,1,9826.6,0,688.93,229.34,Credit Card,1,5.0
ORD20251110142,2025-11-06,CUST1208,Brian Wade,North,Jaipur,Grocery,Tea Pack,2,867.81,10,200.97,211.47,UPI,6,5.0
ORD20251110143,2025-11-08,CUST1273,Lori Knox,North,Delhi,Electronics,Smartphone,4,123893.43,5,26914.69,59.08,Cash,2,3.0
ORD20251110144,2025-11-02,CUST1004,Jennifer Johnson,North,Jaipur,Clothing,T-Shirt,3,2140.28,10,331.45,210.33,Credit Card,7,5.0
ORD20251110145,2025-11-15,CUST1139,Anita Reyes,South,Bangalore,Furniture,Office Chair,3,20872.17,5,4043.35,212.07,UPI,6,3.0
ORD20251110146,2025-11-26,CUST1151,Daniel Mathews,West,Pune,Furniture,Study Table,5,45279.42,15,3049.46,178.82,UPI,2,2.0
ORD20251110147,2025-11-16,CUST1165,Donna Clayton,South,Bangalore,Furniture,Office Chair,3,16905.81,15,4071.04,238.44,Debit Card,5,5.0
ORD20251110148,2025-11-01,CUST1133,Dustin Harris,East,Bhubaneswar,Clothing,Jeans,1,1986.16,0,371.84,89.93,Debit Card,6,1.0
ORD20251110149,2025-11-21,CUST1151,Daniel Mathews,West,Pune,Clothing,Jeans,2,3783.42,5,937.41,163.74,,4,5.0
ORD20251110150,2025-11-16,CUST1275,Jamie Morales,West,Pune,Furniture,Study Table,5,50255.07,0,6149.06,182.04,UPI,1,5.0
ORD20251110151,2025-11-17,CUST1103,Joseph Brown,West,Mumbai,Furniture,Study Table,3,23542.82,15,3922.93,101.35,UPI,5,4.0
ORD20251110152,2025-11-26,CUST1028,Shannon Bird,West,Pune,Grocery,Cooking Oil,5,3791.95,15,540.26,64.43,Debit Card,6,1.0
ORD20251110153,2025-11-13,CUST1130,Tracey Alvarez,North,Jaipur,Electronics,Smartphone,5,136358.69,0,8556.78,136.13,UPI,1,4.0
ORD20251110154,2025-11-02,CUST1146,Vincent Williams,East,Bhubaneswar,Grocery,Cooking Oil,2,1491.59,15,208.39,272.83,Cash,4,1.0
ORD20251110155,2025-11-22,CUST1276,Dylan Davis,West,Pune,Furniture,Sofa,1,26091.02,5,1969.07,148.26,Credit Card,7,1.0
ORD20251110156,2025-11-25,CUST1011,Steven Cross,West,Pune,Clothing,Sneakers,5,14970.0,15,1489.55,255.84,Debit Card,2,3.0
ORD20251110157,2025-11-07,CUST1057,Kevin Melton,North,Jaipur,Electronics,Smartwatch,5,37925.33,0,6401.37,66.82,Cash,5,1.0
ORD20251110158,2025-11-08,CUST1022,Kimberly Townsend,East,Kolkata,Grocery,Tea Pack,2,998.34,5,77.9,244.02,Debit Card,2,5.0
ORD20251110159,2025-11-11,CUST1295,Deanna Wheeler,North,Delhi,Clothing,Jeans,3,6253.69,5,829.94,180.31,Debit Card,1,5.0
ORD20251110160,2025-11-19,CUST1089,Andrea Santiago,North,Jaipur,Grocery,Tea Pack,1,489.74,10,101.45,217.84,Debit Card,6,4.0
ORD20251110161,2025-11-14,CUST1076,Larry Ward,South,Chennai,Clothing,Sneakers,2,5641.76,15,1249.7,106.34,Credit Card,7,4.0
ORD20251110162,2025-11-02,CUST1287,Jamie Diaz,West,Pune,Grocery,Tea Pack,5,2322.0,5,269.47,113.75,UPI,4,3.0
ORD20251110163,2025-11-03,CUST1274,Thomas Mcintyre,South,Bangalore,Furniture,Office Chair,3,18470.01,15,4150.66,200.73,Credit Card,7,5.0
ORD20251110164,2025-11-24,CUST1286,John Murray,West,Mumbai,Furniture,Bookshelf,2,10374.89,10,958.24,277.25,Credit Card,6,1.0
ORD20251110165,2025-11-24,CUST1245,Kaitlyn Nelson,North,Jaipur,Furniture,Study Table,4,38395.8,5,4842.95,243.88,,3,3.0
ORD20251110166,2025-11-12,CUST1262,Amy Bailey,South,Chennai,Grocery,Tea Pack,1,447.24,15,40.53,130.06,Debit Card,4,1.0
ORD20251110167,2025-11-19,CUST1113,Aaron Cook,South,Bangalore,Furniture,Office Chair,3,17118.84,15,1643.47,99.05,Credit Card,4,5.0
ORD20251110168,2025-11-21,CUST1172,Alexis Dunn,East,Kolkata,Clothing,Sneakers,4,11110.39,15,931.64,248.74,Cash,2,5.0
ORD20251110169,2025-11-21,CUST1030,Donna Johnson,East,Kolkata,Electronics,Laptop,1,68773.49,0,6621.97,260.64,Credit Card,1,2.0
ORD20251110170,2025-11-17,CUST1233,David Bradford,North,Delhi,Clothing,T-Shirt,5,3508.32,15,548.85,53.93,Cash,1,1.0
ORD20251110171,2025-11-17,CUST1140,Kathy Montes PhD,East,Kolkata,Clothing,T-Shirt,5,3608.19,15,257.64,277.44,UPI,5,2.0
ORD20251110172,2025-11-08,CUST1098,Cody Garcia,West,Pune,Clothing,Jacket,3,9341.2,15,1324.58,289.82,Credit Card,6,2.0
ORD20251110173,2025-11-10,CUST1041,Tracy Browning,South,Chennai,Electronics,Laptop,4,232153.27,15,41172.29,169.0,Credit Card,1,4.0
ORD20251110174,2025-11-28,CUST1222,Clarence Washington,South,Bangalore,Clothing,T-Shirt,5,3783.81,0,713.09,275.32,Cash,3,1.0
ORD20251110175,2025-11-03,CUST1143,Stacey Gutierrez,South,Bangalore,Electronics,Smartphone,3,98306.45,0,19705.62,196.76,Cash,1,3.0
ORD20251110176,2025-11-06,CUST1288,Chad Lee,East,Kolkata,Furniture,Bookshelf,5,26372.77,10,5488.16,234.94,UPI,5,3.0
ORD20251110177,2025-11-02,CUST1050,Taylor Rose,East,Kolkata,Grocery,Cooking Oil,1,827.04,10,139.87,203.47,Debit Card,1,3.0
ORD20251110178,2025-11-26,CUST1230,Sherry Olson,North,Delhi,Grocery,Cooking Oil,3,2263.72,15,412.3,219.92,UPI,7,5.0
ORD20251110179,2025-11-10,CUST1126,Jessica Jacobs,South,Chennai,Electronics,Laptop,3,194712.0,5,15743.51,245.97,Cash,3,3.0
